Traffic Volume Count Location  Address,Street,Latitude,Longitude,Location,Vehicle Volume By Each Direction of Traffic
1708 West,71st Street,41.764877,-87.666635,"(41.764877, -87.666635)",East Bound: 6900 / West Bound: 7700
1275 West,71st Street,41.765008,-87.657067,"(41.765008, -87.657067)",East Bound: 7800 / West Bound: 8700
920 West,71st Street,41.765153,-87.647751,"(41.765153, -87.647751)",East Bound: 8800 / West Bound: 9400
758 West,71st Street,41.765204,-87.644371,"(41.765204, -87.644371)",East Bound: 10400 / West Bound: 11200
240 East,71st St,41.765644,-87.618476,"(41.765644, -87.618476)",East Bound: 9000 / West Bound: 9300
2050 East,71st St,41.76626,-87.574226,"(41.76626, -87.574226)",East Bound: 3600 / West Bound: 5000
8539 South,Commercial Ave,41.739836,-87.551476,"(41.739836, -87.551476)",North Bound: 5000 / South Bound: 5000
8933 South,Commercial Ave,41.732725,-87.55132,"(41.732725, -87.55132)",North Bound: 4900 / South Bound: 5600
9379 South,Commercial Ave,41.724444,-87.551124,"(41.724444, -87.551124)",North Bound: 6000 / South Bound: 6700
9730 South,Commercial Ave,41.718183,-87.551016,"(41.718183, -87.551016)",North Bound: 4000 / South Bound: 5000
4107 South,Cottage Grove Ave,41.820171,-87.606798,"(41.820171, -87.606798)",North Bound: 5600 / South Bound: 5200
4750 South,Cottage Grove Ave,41.807987,-87.606532,"(41.807987, -87.606532)",North Bound: 7000 / South Bound: 7200
5325 South,Cottage Grove Ave,41.797881,-87.606302,"(41.797881, -87.606302)",North Bound: 7200 / South Bound: 6500
6144 South,Cottage Grove Ave,41.78269,-87.605979,"(41.78269, -87.605979)",North Bound: 10300 / South Bound: 10600
6533 South,Cottage Grove Ave,41.775779,-87.605826,"(41.775779, -87.605826)",North Bound: 9800 / South Bound: 9300
6820 South,Cottage Grove Ave,41.770685,-87.605711,"(41.770685, -87.605711)",North Bound: 10300 / South Bound: 11400
7346 South,Cottage Grove Ave,41.760801,-87.605452,"(41.760801, -87.605452)",North Bound: 8700 / South Bound: 9100
8800 South,Cottage Grove Ave,41.734791,-87.604779,"(41.734791, -87.604779)",North Bound: 11100 / South Bound: 11300
10101 South,Cottage Grove Ave,41.710922,-87.60573,"(41.710922, -87.60573)",North Bound: 5800 / South Bound: 6700
1603 South,Damen Ave,41.859378,-87.676043,"(41.859378, -87.676043)",North Bound: 9600 / South Bound: 9200
1959 South,Damen Ave,41.854926,-87.67592,"(41.854926, -87.67592)",North Bound: 7700 / South Bound: 7600
2259 South,Damen Ave,41.850395,-87.67579,"(41.850395, -87.67579)",North Bound: 8000 / South Bound: 6800
2566 South,Damen Ave,41.844875,-87.675652,"(41.844875, -87.675652)",North Bound: 13800 / South Bound: 14200
3460 South,Damen Ave,41.830389,-87.675279,"(41.830389, -87.675279)",North Bound: 3800 / South Bound: 4300
3630 South,Damen Ave,41.827625,-87.675208,"(41.827625, -87.675208)",North Bound: 3200 / South Bound: 3800
4936 South,Damen Ave,41.803741,-87.674569,"(41.803741, -87.674569)",North Bound: 5900 / South Bound: 5000
5929 South,Damen Ave,41.785746,-87.674075,"(41.785746, -87.674075)",North Bound: 7600 / South Bound: 7300
6755 South,Damen Ave,41.770409,-87.673671,"(41.770409, -87.673671)",North Bound: 7900 / South Bound: 8700
7509 South,Damen Ave,41.757363,-87.673336,"(41.757363, -87.673336)",North Bound: 5600 / South Bound: 6700
3030 South,Dr Martin Luther King Jr Dr,41.838419,-87.617465,"(41.838419, -87.617465)",North Bound: 10000 / South Bound: 9900
3748 South,Dr Martin Luther King Jr Dr,41.825982,-87.617039,"(41.825982, -87.617039)",North Bound: 7300 / South Bound: 8300
4358 South,Dr Martin Luther King Jr Dr,41.814852,-87.616741,"(41.814852, -87.616741)",North Bound: 6600 / South Bound: 7900
5450 South,Dr Martin Luther King Jr Dr,41.795094,-87.615989,"(41.795094, -87.615989)",North Bound: 5600 / South Bound: 6200
7718 South,Dr Martin Luther King Jr Dr,41.754187,-87.615027,"(41.754187, -87.615027)",North Bound: 7900 / South Bound: 8800
9243 South,Dr Martin Luther King Jr Dr,41.726239,-87.614254,"(41.726239, -87.614254)",North Bound: 7800 / South Bound: 7700
10326 South,Dr Martin Luther King Jr Dr,41.706494,-87.613745,"(41.706494, -87.613745)",North Bound: 5300 / South Bound: 5800
7669 South,Exchange Ave,41.755798,-87.55646,"(41.755798, -87.55646)",North Bound: 3900 / South Bound: 4400
7952 South,Exchange Ave,41.7504,-87.5528,"(41.7504, -87.5528)",North Bound: 3500 / South Bound: 3900
1407 South,Indiana Ave,41.863938,-87.622471,"(41.863938, -87.622471)",North Bound: 4900 / South Bound: 3400
1933 South,Indiana Ave,41.85566,-87.62228,"(41.85566, -87.62228)",North Bound: 3800 / South Bound: 2300
3420 South,Indiana Ave,41.832167,-87.621788,"(41.832167, -87.621788)",North Bound: 7400 / / Oneway North Bound
3654 South,Indiana Ave,41.828022,-87.621694,"(41.828022, -87.621694)",North Bound: 6000 / / Oneway North Bound
5848 South,Indiana Ave,41.787779,-87.620665,"(41.787779, -87.620665)",North Bound: 4400 / / Oneway North Bound
10320 South,Indianapolis Ave,41.707611,-87.529702,"(41.707611, -87.529702)",North Bound: 19200 / South Bound: 19300
6602 South,Jeffery Blvd,41.775215,-87.575158,"(41.775215, -87.575158)",North Bound: 10600 / South Bound: 10600
6841 South,Jeffery Blvd,41.77038,-87.576414,"(41.77038, -87.576414)",North Bound: 11300 / South Bound: 12400
7335 South,Jeffery Blvd,41.761454,-87.576196,"(41.761454, -87.576196)",North Bound: 11200 / South Bound: 13100
8127 South,Jeffery Blvd,41.747152,-87.575902,"(41.747152, -87.575902)",North Bound: 6500 / South Bound: 6900
8645 South,Jeffery Blvd,41.737902,-87.575714,"(41.737902, -87.575714)",North Bound: 9300 / South Bound: 10000
8547 South,Jeffery Blvd,41.739269,-87.575753,"(41.739269, -87.575753)",North Bound: 5700 / South Bound: 6700
9633 South,Jeffery Ave,41.719732,-87.57529,"(41.719732, -87.57529)",North Bound: 4100 / South Bound: 3600
7345 South,Dr Martin Luther King Jr Dr,41.760689,-87.615174,"(41.760689, -87.615174)",North Bound: 9400 / South Bound: 9500
2350 South,Dr Martin Luther King Jr Dr,41.849344,-87.618459,"(41.849344, -87.618459)",North Bound: 10700 / South Bound: 7400
5424 South,Lake Park Ave,41.797367,-87.587322,"(41.797367, -87.587322)",North Bound: 8900 / South Bound: 9300
1255 South,Michigan Ave,41.865924,-87.624115,"(41.865924, -87.624115)",North Bound: 11200 / South Bound: 9400
2317 South,Michigan Ave,41.850595,-87.623745,"(41.850595, -87.623745)",North Bound: 5800 / South Bound: 7200
2950 South,Michigan Ave,41.839562,-87.623493,"(41.839562, -87.623493)",North Bound: 5100 / South Bound: 8100
